Form A - Permissible Floor Area Ratio,,,,,,,,,,,,,,,,
Land extent (Sq.M),Zone factor = 2.50 - 2.74,,,,Zone factor = 2.75-2.99,,,,Zone factor = 3.00-3.24,,,,Zone factor = 3.25-3.49,,,
,**6m ,9m ,12m,15m or above,**6m ,9m ,12m,15m or above,**6m ,9m ,12m,15m or above,**6m ,9m ,12m,15m or above
150 less than 250,3.0,3.4,3.6,4.0,3.0,3.4,3.6,4.0,3.0,3.4,3.6,4.0,3.0,3.4,3.6,4.0
250 less than 375,3.5,4.0,5.0,5.5,3.5,4.2,5.0,5.5,3.5,4.4,5.0,5.5,3.5,4.6,5.0,5.5
375 less than 500,3.6,4.6,5.2,6.0,3.6,4.7,5.2,6.0,3.6,4.8,5.2,6.0,3.6,4.9,5.2,6.0
500 less than 750,3.7,5.1,5.5,6.5,3.7,5.2,5.5,6.5,3.7,5.3,5.5,6.5,3.8,5.4,5.5,6.5
750 less than 1000,3.8,5.2,6.5,7.0,3.8,5.3,7.0,7.5,3.8,5.4,7.0,7.5,4.0,5.5,7.5,8.0
1000 less than 1500,3.9,5.4,7.0,9.0,3.9,5.5,7.5,9.0,3.9,5.6,7.5,9.0,4.0,5.7,8.0,9.0
1500 less than 2000,4.0,5.5,7.5,*10.5 ,4.0,5.6,7.5,*10.5 ,4.0,5.7,8.0,*10.5 ,4.0,5.8,8.0,*11
2000 less than 2500,4.0,5.6,7.5,*11 ,4.0,5.7,8.0,*11 ,4.0,5.8,8.0,*11 ,4.0,5.9,8.0,*11.5
2500 less than 3000,4.0,5.7,8.0,*11.5 ,4.0,5.8,8.0,*11.5 ,4.0,5.9,8.0,*11.5,4.0,6.0,8.0,*12
3000 less than 3500,4.0,5.8,8.0,*12 ,4.0,5.9,8.0,*12 ,4.0,6.0,8.0,*12 ,4.0,6.0,8.0, *12
3500 less than 4000,4.0,5.9,8.0,*12 ,4.0,6.0,8.0,*12 ,4.0,6.0,8.0,*12 ,4.0,6.0,8.0,*12
More than 4000,4.0,6.0,8.0,*UL ,4.0,6.0,8.0,*UL ,4.0,6.0,8.0,*UL ,4.0,6.0,8.0,*UL 
