"Use","Use","Female","Female","Male","Male","Male"
"Use","Use","Toilet","Wash Basin","Toilet","Urinal","Wash Basin"
"1","Restaurants, Hotels and similar uses","1 per 100 m2.","1 per 300 m2.","1 per 200 m2.","1 per 200 m2.","1 per 300 m2."
"2","Cinemas, Theatres, Seminar Halls","1 per 40 seats","1 per 50 seats","1 per 120 seats","1 per 40 seats","1 per 120 seats"
"3","Shopping Complexes Departmental Stores, Super Markets and similar uses","1 per 800 m2.","1 per 1000 m2.","1 per 1000 m2.","1 per 1000 m2.","1 per 1000 m2."
"4","Offices","1 per 100 m2.","1 per 100 m2.","1 per 200 m2.","1 per 200 m2.","1 per 100 m2."
"5","Schools/Private Educational institutes/ Tuition Classes/ International schools","1 per 40 students or 1 per 60 m2 whichever is more","1 per 40 students or 1 per 60 m2 whichever is more","1 per 40 students or 1 per 60 m2 whichever is more","1 per 80 students or 1 per 120 m2 whichever is more","1 per 40 students or 1 per 60 m2 whichever is more"
"6","Public spaces, Public assembly places, Parks and similar uses","1 per 100 person","1 per 100 person","1 per 100 person","1 per 100 person","1 per 100 person"
"7","Hospital and similar uses","3 per 50 beds","3 per 50 beds","3 per 50 beds","3 per 50 beds","3 per 50 beds"
"8","Industries","1per 40 persons or 1 per 100 m2 whichever is more","1 per 40 persons or 1 per 100 m2 whichever is more","1 per 40 persons or 1 per 200 m2 whichever is more","1 per 80 persons or 1 per 200 m2 whichever is more","1 per 40 persons or 1 per 100 m2 whichever is more"
"9","Other","1per 40 persons or 1 per 100 m2 whichever is more","1per 40 persons or 1 per 100 m2 whichever is more","1per 40 persons or 1 per 100 m2 whichever is more","1per 40 persons or 1 per 100 m2 whichever is more","1per 40 persons or 1 per 100 m2 whichever is more"
