"Nature of Development Activities","Fee (excluding tax)",""
"6.  Advertising Boards","Digital Advertising boards (per m2.)","Rs. 5000 /-"
"","Non Digital Advertising boards (per m2)","Rs. 3000 /-"
"","Name Boards (Per m2)","Rs. 1000/-"
"","Gantries (Per m2)","Rs. 6000 /-"
"7.  Garbage  Dumping  yards/  Transfer Stations  /  Compost  plants  /  Sanitary  land  filling  and  other  related activities.","i. Land extent up to 4000 m2","Rs.50,000/-"
"","More than 4000 m2","Rs. 50,000 + Rs. 10,000/- for every additional 4000 m2 or part thereof, in excess of 4000 m2"
"8. Water related buildings and other water related developments","","Rs. 50,000/-"
"9. Metal quarry / crusher plant, soil cutting, soil washing for sand mining, clay and gravel mining on commercial, purposes.","","Rs. 10,000/-"
"10 i.  Investigations on Mineral Mining","Up to 1 km2.","Rs. 100,000/-"
"","ii. More than 1 km2","Rs. 100,000/- + Rs. 10,000/- for every additional 1 km2. or part of thereof, in excess of 1 km2"
"ii. Any  other  Mineral  Mining  except above item  10 (i)","iii Up to 1 km2","Rs. 100,000/-"
"","iv. More than 1 km2.","Rs. 100,000/- + Rs. 10,000/- for every additional 1 km2 or part of thereof, in excess of 1 km2"
"11. Children  Homes /Elders  Homes/ Rehabilitation Centres","Land Extent","Amount"
"","Up to 400 m2","Rs.   2,500/-"
"","401m2 - 500 m2","Rs.    5,000/-"
"","501 m2 - 750 m2","Rs. 10,000/-"
"","751 m2 - 1000 m2","Rs. 20,000/-"
"","More than 1000 m2","Rs.   20,000 + Rs.  500/- for every additional 100 m2or part thereof, in excess of 1000 m2"
