"Form C - Permissible Floor Area Ratio","","","","","","","","","","","",""
"Land extent (Sq.M)","Low Density Zone (Controlled Zone)","","","","Medium Density Zone (Residential Zone)","","","","High Density Zone (Mixed Zone)","","",""
"","Minimum Road Width","","","","Minimum Road Width","","","","Minimum Road Width","","",""
"","6m","9m","12m","15m or above","6m","9m","12m","15m or above","6m","9m","12m","15m or above"
"150 less than 250","0.8","0.9","0.9","0.9","1.3","1.3","1.4","1.4","1.6","1.7","1.8","1.9"
"250 less than 375","0.9","1.0","1.2","1.3","1.3","1.6","1.8","2.0","1.8","2.2","2.4","2.7"
"375 less than 500","0.9","1.0","1.2","1.4","1.3","1.6","1.9","2.1","1.9","2.2","2.5","2.8"
"500 less than 750","1.0","1.1","1.3","1.5","1.4","1.7","2.0","2.2","2.0","2.3","2.7","3.0"
"750 less than 1000","1.0","1.2","1.4","1.7","1.5","1.8","2.2","2.5","2.1","2.4","2.9","3.3"
"1000 less than 1500","1.1","1.3","1.5","1.8","1.6","1.9","2.3","2.7","2.2","2.5","3.0","3.6"
"1500 less than 2000","1.1","1.4","1.7","2.0","1.7","2.1","2.5","3.0","2.3","2.7","3.4","4.0"
"2000 less than 2500","1.2","1.5","1.8","2.1","1.8","2.3","2.7","3.1","2.4","2.8","3.5","4.2"
"2500 less than 3000","1.2","1.6","2.0","2.4","1.9","2.4","3.0","3.6","2.5","3.2","4.0","4.7"
"3000 less than 3500","1.3","1.7","2.1","2.5","2.0","2.5","3.1","3.7","2.6","3.4","4.2","5.0"
"3500 less than 4000","1.4","1.8","2.2","2.6","2.2","2.6","3.3","3.9","2.8","3.6","4.3","5.3"
"More than 4000","1.5","1.9","2.3","2.8","2.5","2.8","3.5","4.0","3.0","3.8","4.5","5.5"
"Above Floor Area Ratio shall not be applicable for the zones where number of floors or FAR indicated under the zoning regulations Floor area allocated for parking facilities are not calculated for FAR Clearance shall be taken from National Building Research Organization for the lands having slope more than 110","","","","","","","","","","","",""
