Form E-Setbacks & Open Spaces,,,,,,,,,,
Building Category,Building Height (m),Minimum Site Frontage (m),Plot Coverage⁎,,Rear Space (m),,Side Space (m),,Light Well for NLV,
,,,Non Residential,Residential,When no NLV is taking this end (m),When NLV is taking this end (m),When no NLV is taking this end (m),When NLV is taking this end (m),Minimum Width (m),Minimum Area (Sq.m)
Low Rise,Less than 7,6,80%**,65%,2.3,2.3,-,2.3,2.3,5.0
,7 Less than 15,6,65%,65%,3.0,3.0,-,3.0,3.0,9.0
Inter-Mediate Rise,15 Less than 30,12,65%,65%,4.0,4.0,1.0 and 3.0,4.0,4.0,16.0
Middle Rise,30 Less than 50,20,65%,65%,4.0,5.0,3.0 both side,5.0,5.0,25.0
High Rise,50 Less than 75,30,50%***,50%***,5.0,6.0,4.0 both side,6.0,6.0,36.0
,75 and Above,Above 40m,50%***,50%***,5.0,6.0,5.0 both side,6.0,6.0,****
NLV - Natural Light & Ventilation,,,,,,,,,,
Building Height - Height between access road level to roof top or roof level (Including parking floors),,,,,,,,,,
* Where no plot coverage specified under the zoning regulation.,,,,,,,,,,
** The entire development is for non-residential activities.,,,,,,,,,,
*** 65% plot coverage can be allowed only for the podium level not exceeding 20% of the lower height or 12 floors whichever is less.,,,,,,,,,,
**** Minimum area shall be increased by 1m² for every additional 3m height.,,,,,,,,,,
,,,,,,,,,,
"These specifications are applicable only to the areas for which Forms A, B, C, and D are in effect.",,,,,,,,,,
