"* Annual RainwaterBand (mm)","* Annual RainwaterBand (mm)","Minimum Volume required to collect from 100m2 of roof area and hard paved area","Minimum Volume required to collect from 100m2 of roof area and hard paved area","Minimum Volume required to collect from 100m2 of roof area and hard paved area","Minimum Volume required to collect from 100m2 of roof area and hard paved area","Minimum Volume required to collect from 100m2 of roof area and hard paved area"
"* Annual RainwaterBand (mm)","* Annual RainwaterBand (mm)","Residential","Residential","Commercial","Industrial","Institutional"
"* Annual RainwaterBand (mm)","* Annual RainwaterBand (mm)","Domestic (cu.m.)","Apartments/ Condominiums(cu.m.)","(cu.m.)","(cu.m.)","(cu.m.)"
"1","750 - 1000","1.5","2.5","5","8","10"
"2","1000 - 1500","1.5","2.5","3","8","10"
"3","1500 - 2000","1.5","2.5","3","5","10"
"4","2000 - 2500","1.5","2.5","3","3","5"
"5","2500 - 3000","1.5","2.5","2","2","3"
"6","3000 - 4000","1.5","2.5","1","1","2"
"7","4000 - 5000","1.5","2.5","0.5","1","1"
"8","5000 - 6000","1.5","2.5","0.5","0.5","0.5"
